Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
27,tt0091369,2013-03-11,2013-03-11,,"Labyrinth","Labyrinth",https://www.imdb.com/title/tt0091369/,Movie,7.3,101,1986,"Adventure, Family, Fantasy, Musical",159459,1986-06-27,"Jim Henson",7,2013-03-09
28,tt1424432,2013-03-11,2013-03-11,,"Senna","Senna",https://www.imdb.com/title/tt1424432/,Movie,8.5,106,2010,"Documentary, Biography, Sport",82270,2011-05-25,"Asif Kapadia",8,2013-03-10
29,tt0064010,2013-03-12,2013-03-12,,"Amblin'","Amblin'",https://www.imdb.com/title/tt0064010/,Short,6.3,26,1968,"Short, Drama, Romance",1511,1968-12-18,"Steven Spielberg",7,2013-03-12
30,tt0072226,2013-03-27,2013-03-27,,"The Sugarland Express","The Sugarland Express",https://www.imdb.com/title/tt0072226/,Movie,6.7,110,1974,"Crime, Drama",21376,2025-05-01,"Steven Spielberg",6,2013-03-27
31,tt0066011,2013-03-26,2013-03-26,,"Love Story","Love Story",https://www.imdb.com/title/tt0066011/,Movie,6.9,100,1970,"Drama, Romance",39225,1970-12-16,"Arthur Hiller",7,2013-03-16
32,tt0281724,2013-03-26,2013-03-26,,"Cinemania","Cinemania",https://www.imdb.com/title/tt0281724/,Movie,7.1,83,2002,"Documentary",2431,2003-04-10,"Angela Christlieb, Stephen Kijak",7,2013-03-17
33,tt0026138,2013-03-26,2013-03-26,,"Bride of Frankenstein","The Bride of Frankenstein",https://www.imdb.com/title/tt0026138/,Movie,7.8,75,1935,"Drama, Horror, Sci-Fi",56429,1935-05-06,"James Whale",6,2013-03-20
34,tt0083908,2013-03-26,2013-03-26,,"Evil Under the Sun","Evil Under the Sun",https://www.imdb.com/title/tt0083908/,Movie,7.0,117,1982,"Crime, Drama, Mystery",22793,1982-03-05,"Guy Hamilton",7,2013-03-24
35,tt0083866,2013-03-26,2013-03-26,,"E.T. the Extra-Terrestrial","E.T. the Extra-Terrestrial",https://www.imdb.com/title/tt0083866/,Movie,7.9,115,1982,"Adventure, Family, Sci-Fi",459329,1982-06-11,"Steven Spielberg",8,2013-03-25
36,tt1222815,2013-03-28,2013-03-28,,"Chimpanzee","Chimpanzee",https://www.imdb.com/title/tt1222815/,Movie,7.1,78,2011,"Documentary, Family",6479,2012-04-20,"Alastair Fothergill, Mark Linfield",6,2013-03-27
37,tt0084516,2013-03-28,2013-03-28,,"Poltergeist","Poltergeist",https://www.imdb.com/title/tt0084516/,Movie,7.3,114,1982,"Horror, Thriller",189871,1982-06-04,"Tobe Hooper",7,2013-03-28
38,tt0037515,2013-03-30,2013-03-30,,"And Then There Were None","And Then There Were None",https://www.imdb.com/title/tt0037515/,Movie,7.3,97,1945,"Crime, Drama, Mystery, Thriller",17886,1945-10-31,"René Clair",6,2013-03-30
39,tt1740707,2013-04-15,2013-04-15,,"Troll Hunter","Trolljegeren",https://www.imdb.com/title/tt1740707/,Movie,6.9,103,2010,"Drama, Fantasy, Thriller",81873,2010-10-29,"André Øvredal",7,2013-03-31
40,tt0097576,2013-04-15,2013-04-15,,"Indiana Jones and the Last Crusade","Indiana Jones and the Last Crusade",https://www.imdb.com/title/tt0097576/,Movie,8.2,127,1989,"Action, Adventure",847020,1989-05-24,"Steven Spielberg",7,2013-03-31
41,tt1351685,2013-04-15,2013-04-15,,"Jack the Giant Slayer","Jack the Giant Slayer",https://www.imdb.com/title/tt1351685/,Movie,6.3,114,2013,"Action, Adventure, Fantasy",152939,2013-03-01,"Bryan Singer",7,2013-04-04
42,tt0071970,2013-04-15,2013-04-15,,"The Parallax View","The Parallax View",https://www.imdb.com/title/tt0071970/,Movie,7.1,102,1974,"Drama, Mystery, Thriller",23518,1974-06-19,"Alan J. Pakula",8,2013-04-04
43,tt0087363,2013-04-15,2013-04-15,,"Gremlins","Gremlins",https://www.imdb.com/title/tt0087363/,Movie,7.3,106,1984,"Comedy, Fantasy, Horror",264625,1984-06-08,"Joe Dante",7,2018-08-10
44,tt1512201,2013-04-15,2013-04-15,,"Last Train Home","Gui tu lie che",https://www.imdb.com/title/tt1512201/,Movie,7.6,85,2009,"Documentary, Drama",3788,2010-09-09,"Lixin Fan",6,2013-04-08
45,tt0054407,2013-04-15,2013-04-15,,"The Hole","Le trou",https://www.imdb.com/title/tt0054407/,Movie,8.5,131,1960,"Crime, Drama, Thriller",22432,1997-02-14,"Jacques Becker",6,2013-04-10
46,tt2608732,2013-04-15,2013-04-15,,"TPB AFK: The Pirate Bay Away from Keyboard","TPB AFK: The Pirate Bay Away from Keyboard",https://www.imdb.com/title/tt2608732/,Movie,7.4,85,2013,"Documentary",14127,2013-02-08,"Simon Klose",6,2013-04-14
47,tt0082776,2013-04-17,2013-04-17,,"Ms .45","Ms .45",https://www.imdb.com/title/tt0082776/,Movie,6.8,80,1981,"Crime, Drama, Thriller",13767,1981-04-24,"Abel Ferrara",8,2013-04-17
48,tt0758758,2013-04-22,2013-04-22,,"Into the Wild","Into the Wild",https://www.imdb.com/title/tt0758758/,Movie,8.0,148,2007,"Adventure, Biography, Drama",685185,2007-10-19,"Sean Penn",7,2013-04-22
49,tt0239894,2013-04-22,2013-04-22,,"Paradise Lost 2: Revelations","Paradise Lost 2: Revelations",https://www.imdb.com/title/tt0239894/,Movie,7.5,130,2000,"Documentary, Crime",10109,2001-03-12,"Joe Berlinger, Bruce Sinofsky",7,2013-04-22
50,tt1483013,2013-04-27,2013-04-27,,"Oblivion","Oblivion",https://www.imdb.com/title/tt1483013/,Movie,7.0,124,2013,"Action, Adventure, Sci-Fi",576274,2013-04-19,"Joseph Kosinski",6,2013-04-24
51,tt0145547,2013-04-28,2013-04-28,,"Two Hands","Two Hands",https://www.imdb.com/title/tt0145547/,Movie,7.1,103,1999,"Comedy, Crime, Thriller",14224,1999-07-29,"Gregor Jordan",7,2013-04-28
52,tt1509276,2013-04-29,2013-04-29,,"The Wildest Dream","The Wildest Dream",https://www.imdb.com/title/tt1509276/,Movie,7.2,94,2010,"Documentary, Biography",2801,2010-08-06,"Anthony Geffen",6,2013-04-29
53,tt0065531,2013-05-01,2013-05-01,,"Le cercle rouge","Le cercle rouge",https://www.imdb.com/title/tt0065531/,Movie,7.9,140,1970,"Crime, Drama, Thriller",30714,1970-10-20,"Jean-Pierre Melville",6,2013-05-01
54,tt0838221,2013-05-05,2013-05-05,,"The Darjeeling Limited","The Darjeeling Limited",https://www.imdb.com/title/tt0838221/,Movie,7.2,91,2007,"Adventure, Comedy, Drama",226612,2007-10-26,"Wes Anderson",6,2013-05-05
55,tt0481499,2013-05-09,2013-05-09,,"The Croods","The Croods",https://www.imdb.com/title/tt0481499/,Movie,7.1,98,2013,"Animation, Adventure, Comedy, Family, Fantasy",245563,2013-03-22,"Kirk DeMicco, Chris Sanders",5,2013-05-09
56,tt0086465,2013-05-09,2013-05-09,,"Trading Places","Trading Places",https://www.imdb.com/title/tt0086465/,Movie,7.5,116,1983,"Comedy",176145,1983-06-08,"John Landis",6,2013-05-09
57,tt1899353,2013-05-13,2013-05-13,,"The Raid: Redemption","Serbuan maut",https://www.imdb.com/title/tt1899353/,Movie,7.6,101,2011,"Action, Crime, Thriller",226258,2012-04-13,"Gareth Evans",7,2013-05-13
58,tt2380247,2013-05-13,2013-05-13,,"The Central Park Five","The Central Park Five",https://www.imdb.com/title/tt2380247/,Movie,7.7,119,2012,"Documentary, Crime, History",8198,2014-04-25,"Ken Burns, Sarah Burns, David McMahon",7,2013-05-13
59,tt1313092,2013-05-16,2013-05-16,,"Animal Kingdom","Animal Kingdom",https://www.imdb.com/title/tt1313092/,Movie,7.2,113,2010,"Crime, Drama, Thriller",62455,2010-06-03,"David Michôd",7,2013-05-16
60,tt0065492,2013-05-19,2013-05-19,,"Brewster McCloud","Brewster McCloud",https://www.imdb.com/title/tt0065492/,Movie,6.8,105,1970,"Comedy, Crime, Fantasy",6132,1971-06,"Robert Altman",7,2013-05-19
61,tt1943873,2013-05-20,2013-05-20,,"You've Been Trumped","You've Been Trumped",https://www.imdb.com/title/tt1943873/,Movie,7.5,79,2011,"Documentary",2350,2012-07-06,"Anthony Baxter",7,2013-05-20
62,tt0975645,2013-05-23,2013-05-23,,"Hitchcock","Hitchcock",https://www.imdb.com/title/tt0975645/,Movie,6.8,98,2012,"Biography, Drama, Romance",82470,2012-12-14,"Sacha Gervasi",7,2013-05-23
63,tt1188729,2013-05-27,2013-05-27,,"Pandorum","Pandorum",https://www.imdb.com/title/tt1188729/,Movie,6.7,108,2009,"Action, Horror, Mystery, Sci-Fi, Thriller",165208,2009-09-25,"Christian Alvart",6,2013-05-27
64,tt2177843,2013-05-27,2013-05-27,,"We Are Legion: The Story of the Hacktivists","We Are Legion: The Story of the Hacktivists",https://www.imdb.com/title/tt2177843/,Movie,7.2,93,2012,"Documentary",10490,2012-10-30,"Brian Knappenberger",7,2013-05-27
65,tt0102721,2013-05-30,2013-05-30,,"Proof","Proof",https://www.imdb.com/title/tt0102721/,Movie,7.2,86,1991,"Drama, Romance",7412,1992-03-20,"Jocelyn Moorhouse",8,2013-06-03
66,tt1244666,2013-06-02,2013-06-02,,"Fish Story","Fisshu sutôrî",https://www.imdb.com/title/tt1244666/,Movie,7.5,113,2009,"Action, Comedy, Music, Sci-Fi",3551,2009-03-20,"Yoshihiro Nakamura",6,2013-06-02
67,tt2085910,2013-06-03,2013-06-03,,"Room 237","Room 237",https://www.imdb.com/title/tt2085910/,Movie,6.2,102,2012,"Documentary",23676,2012-10-26,"Rodney Ascher",7,2013-06-03
68,tt1305806,2013-06-06,2013-06-06,,"The Secret in Their Eyes","El secreto de sus ojos",https://www.imdb.com/title/tt1305806/,Movie,8.2,129,2009,"Drama, Mystery, Romance, Thriller",236151,2010-05-21,"Juan José Campanella",7,2013-06-06
